president,cat,q,a,b,c,d,ans
Barack Obama,Pets in the White House,What breed is Sunny?,Poodle,Labrador Retriever,Golden Retriever,Corgi,c
Joe Biden,Mentors in early career,Which mentor figure is associated with Biden's early-career focus on public service in Delaware?,J. Caleb Boggs,All of the above,Joseph R. Biden Sr.,Edward M. Kennedy,b
Joe Biden,Relations with Israel,Which Palestinian political body has historically received much of the U.S. aid restored by Biden?,Hamas,Palestinian Authority,Islamic Jihad,PLO,b
Barack Obama,Carbon emission targets,Which of the following were core targets of Obama's climate strategy?,Reducing emissions from electricity generation,All of the above,Reducing methane from oil and gas,Improving vehicle fuel efficiency,b
Joe Biden,Oil drilling and pipeline decisions,Which statute gives FERC authority to regulate interstate natural gas pipelines?,Natural Gas Act,Clean Water Act,Federal Oil and Gas Royalty Act,Energy Policy Act,a
Donald Trump,Community organizing or volunteer work,In what year did the Donald J. Trump Foundation dissolve?,2015,2020,2018,2016,c
Donald Trump,Media feuds,"Which late-night show featured Alec Baldwin's impersonation of Trump, fueling tensions with NBC?",The Late Show,The Tonight Show,Late Night with Seth Meyers,Saturday Night Live,d
Donald Trump,Federal judge appointment totals,"As of the end of his presidency, how many federal judges did Donald Trump appoint?",234,231,247,260,a
Donald Trump,Key states won,Trump won which large southern state in 2016?,Alaska,Texas,Washington,Massachusetts,b
Barack Obama,Policing policy and reform,Which city was the subject of a DOJ patterns-and-practices investigation into its police department during the Obama years?,"Ferguson, Missouri",Baltimore,Chicago,New Orleans,c
Joe Biden,Campaign finance controversies,Which branch of government released the 2020 Hunter Biden report?,House,Senate,Executive,Judiciary,b
Donald Trump,COVID-19 economic relief,The Economic Impact Payments distributed under CARES Act are commonly known as what?,Grants to hospitals,Tax credits,Loan guarantees,Direct payments to individuals,d
Barack Obama,International agreements withdrawn from,"Under JCPOA, what was the maximum enrichment level allowed for Iran's uranium?",3.67%,5%,20%,90%,a
Donald Trump,Africa policy,Did Donald Trump make an official presidential visit to Africa during his term in office?,"Yes, to Egypt",No,"Yes, to Nigeria","Yes, to South Africa",b
Joe Biden,Arms deals with foreign nations,"In 2022, under President Joe Biden, the United States approved a major arms package to defend against Russian aggression in which country?",Ukraine,Saudi Arabia,Japan,Taiwan,a
Donald Trump,Turnout statistics,"In 2016, what was the approximate total number of votes cast in the election by all candidates?",128.8 million,136.7 million,149.0 million,122.0 million,b
Donald Trump,Newspaper endorsements received,Which Nevada newspaper endorsed Donald Trump in 2016?,Las Vegas Review-Journal,Las Vegas Sun,Reno Gazette-Journal,Nevada Appeal,a
Donald Trump,Camp David visits,What type of security presence is typical at Camp David during presidential visits?,Public security only,No security,Full-time Secret Service and military support,Only local police,c
Donald Trump,Manufacturing and industrial policy,Which provision allowed 100% bonus depreciation for new investments under the TCJA?,50% bonus depreciation,0% bonus depreciation,150% bonus depreciation,100% bonus depreciation,d
Barack Obama,State-level political career,The Illinois State Senate district that Obama represented is part of which greater metropolitan area?,Chicago,Milwaukee,St. Louis,Indianapolis,a
Barack Obama,Turnout statistics,Latino voters comprised roughly what share of the electorate in 2008?,9%,8%,6%,12%,a
Barack Obama,Siblings and sibling relationships,Which sibling is Barack Obama's paternal half-sibling who is well-known in Kenya?,Maya Soetoro-Ng,Auma Obama,Malik Obama,Lolo Soetoro,c
Donald Trump,Secretary of Treasury choices,"In addition to finance, Mnuchin has notable ties to which industry?",Agriculture,Healthcare,Energy,Film entertainment,d
Donald Trump,National debt changes during term,Which year saw the largest single-year increase in the national debt during Trump's term?,2017,2018,2019,2020,d
Barack Obama,Books read or recommended as president,Which habit-focused non-fiction did Obama include in a reading list?,The Power of Habit,Atomic Habits,"Thinking, Fast and Slow",Outliers,a
Joe Biden,Campaign fundraising totals,What contributed to Biden's fundraising totals being higher in 2020 than in his 2016 bid?,Fewer donors overall,More government matching funds,Lower fundraising costs,Larger donor base and stronger online fundraising,d
Donald Trump,National Security Advisor choices,Who served as National Security Advisor immediately before John Bolton?,James Mattis,Michael Flynn,Robert O'Brien,H.R. McMaster,d
Donald Trump,Department of Justice controversies,What is the role of Merrick Garland in the Trump investigations?,Supreme Court Justice,White House Press Secretary,Speaker of the House,Attorney General,d
Donald Trump,State-level political career,"In the context of state-level politics prior to his presidency, Trump's involvement was primarily through which channel?",Holding a state office,Serving as a mayor,Donor and advocate within state parties,State attorney general,c
Joe Biden,Student loan policy,What was the maximum amount Biden proposed to forgive for borrowers who did not receive a Pell Grant?,"$5,000","$20,000","$15,000","$10,000",d
Barack Obama,Inflation during presidency,"By 2016, the annual CPI inflation rate was approximately:",1.3%,0.5%,2.5%,3.0%,a
Joe Biden,Unemployment rate during presidency,Which of the following best describes unemployment in 2023?,It rose to above 7%,It remained near 3-4%,It fell to around 0%,It fluctuated above 9%,b
Joe Biden,Father's background and career,Which value did Joe Biden Sr. emphasize for his children to escape poverty?,Wealth,Politics,Education,Fame,c
Donald Trump,Elementary school experiences,Kew-Forest School is located in which part of New York City?,Brooklyn,Queens,Manhattan,The Bronx,b
Joe Biden,Medicare positions and changes,What is the overarching goal of Biden's Medicare drug price negotiation strategy?,Force pharmaceutical companies to withdraw drugs,Lower drug costs for patients,Privatize Medicare,Raise drug prices to fund programs,b
Donald Trump,Special operations missions,The January 2017 Yemen raid resulted in the death of which U.S. Navy SEAL?,Ryan Owens,William Owens,Aaron Carson,Michael Monsoor,b
Joe Biden,Union endorsements received,Which union representing construction workers endorsed Biden in 2020?,LIUNA,USW,IAM,IBEW,a
Donald Trump,Campaign volunteer and ground game,Trump Victory coordinated with which party apparatus?,RNC and state Republican parties,State legislatures only,Democratic Party committees,No coordination,a
Barack Obama,Graduation year and academic record,In which year did Obama begin his studies at Harvard Law School?,1986,1990,1988,1992,c
Joe Biden,Federal Reserve relations and appointments,What is the primary role of the Federal Reserve Board Governor appointments in relation to the President?,They create fiscal policy,They set monetary policy,They set U.S. foreign policy,They are nominated by the President and confirmed by Senate,d
Joe Biden,Travel restrictions and bans,What two main conditions did the Biden administration require for most international air travelers to enter the U.S.?,Vaccination only,Negative test only,No requirements,Vaccination and a negative test,d
Donald Trump,Relationship with major news networks,"In 2018, the White House briefly denied a press credential to a journalist from which network after a confrontation?",CNN,NBC News,Fox News,ABC,a
Donald Trump,Abortion policy positions,Which of the following best describes Trump’s approach to abortion-related issues while in office?,Restriction and pro-life protections,Expansion of abortion access,Neutral on abortion,Opposed to any abortion policy changes,a
Barack Obama,First actions after inauguration,Who was Obama's White House Chief of Staff?,Jim Messina,Dennis McDonough,Rahm Emanuel,Pete Rouse,c
Donald Trump,Board memberships and nonprofit work,The Eric Trump Foundation is best known for fundraising for which hospital?,M.D. Anderson,Memorial Sloan Kettering,Johns Hopkins Hospital,St. Jude Children's Research Hospital,d
Joe Biden,Medicaid policy,Which body is primarily responsible for approving changes to state Medicaid waivers at the federal level?,Congress,OMB,State legislatures,CMS within HHS,d
Donald Trump,Legal career,The 2022 civil fraud lawsuit by New York AG Letitia James targeted which entity?,The Trump Foundation,The Presidency,The Trump Organization,Trump Hotels & Casino Resorts,c
Joe Biden,Unemployment rate during presidency,"By December 2023, the unemployment rate was approximately?",2.9%,3.9%,4.9%,5.9%,b
Joe Biden,Childhood neighborhood and hometown,Archmere Academy is located in which Delaware town?,Newark,Claymont,Dover,Wilmington,b
Donald Trump,Department of Justice controversies,Which DOJ division prosecutes federal criminal cases such as the January 6 indictment of Trump?,Tax Division,Civil Division,Criminal Division,Environment and Natural Resources Division,c
