concept,subtopic,question,answer,baseline_output
cats,Cat size and weight ranges,Ragdoll cats typically weigh between what ranges?,4–9 kg,Typically 12-20 pounds.
chess,Chess notation systems,"What is ""Bf5"" in chess notation?",Bishop to f5,Bishop to f5.
chess,Chess Olympiad facts,In what year did the Chess Olympiad begin?,1927,The first Chess Olympiad took place in 1927.
the_moon,Moon age estimates,Which Moon surface region shows oldest age evidence?,Lunar highlands,The South Pole-Aitken basin.
people,Human child development stages,"For human infants, when do first words typically appear?",Around 12-15 months,Around 9-12 months of age.
dogs,Dog breeding ethics,What reduces inherited diseases in dogs?,Genetic screening.,Genetic testing and responsible breeding practices.
obama,Obama political legacy,Which education reform grant program did Obama promote?,Race to the Top,The Race to the Top program.
paris,Paris theater and opera history,Which is Paris's modern second opera house opened in 1989?,Opéra Bastille,"Palais Garnier's second opera house, the Opéra Bastille."
lasers,Lasers in entertainment and light shows,What type of light does a laser beam emit that's essential for shows?,Coherent light.,Monochromatic coherent light.
lasers,Laser interferometry,Which component splits the laser beam in a standard interferometer?,Beamsplitter,Beam splitter.
the_moon,Moon temperature extremes,What creates cold traps on the Moon?,crater shadows.,Shadows and thermal gradients.
united_states,US natural disasters history,Which US earthquake is the strongest in North American history?,Great Alaska earthquake,The Great Cascadia Earthquake of 1700.
people,Human muscular system,What tissue wraps around a bundle of muscle fibers in humans?,Perimysium,Epimysium.
cats,Cat reproduction and kittens,What imaging method confirms pregnancy in cats?,Ultrasound,Ultrasound examination.
bacteria,Mycobacteria facts,Name a disease caused by Mycobacterium leprae.,Leprosy,Leprosy.
the_moon,Lunar timekeeping systems,What term denotes a single lunar orbit around Earth?,Lunar month,Selenoduration.
the_moon,Water ice on the Moon,What process could release Moon ice into vapor?,Sublimation,Solar wind sputtering.
paris,Paris Olympics history,Which Olympiad edition did Paris host in 1900?,II Olympiad,The 1900 Summer Olympics.
chess,Chess engines and AI,What rating system is commonly used to compare chess engines' strength?,Elo,The Elo rating system.
chess,Chess puzzle types,What is the chess puzzle type that ends with checkmate in one move?,Mate in one,"Checkmate in one move is called a ""checkmate in one"" or ""mate in one""."
obama,First term cabinet members,Who was Obama's first-term United States Trade Representative?,Ron Kirk,Ron Kirk.
dogs,Working dogs and service dogs,What role do service dogs play in public access?,Assist with disabilities.,They provide equal access and accommodations for individuals with disabilities.
cats,Cat training techniques,What should you pair with a click during cat training?,A reward,A treat.
dogs,Dog digestive system,Which part of the dog's digestive tract connects stomach to small intestine?,duodenum,The duodenum.
chess,FIDE chess organization,Which rating system does FIDE use?,Elo rating system,The Elo rating system.
obama,Obama relations with world leaders,Obama and which Japanese prime minister pursued the Trans-Pacific Partnership?,Shinzo Abe,Barack Obama and Shinzo Abe.
bacteria,Bacterial staining techniques,Which counterstain colors Gram-negative bacteria pink after Gram staining?,Safranin,Safranin.
obama,First term cabinet members,Who was Obama's Secretary of Defense at the start of his first term?,Robert Gates,Robert Gates.
obama,Awards and honors received by Obama,What is the full name of Barack Obama's Nobel Prize?,Nobel Peace Prize,The Nobel Peace Prize.
people,Human speech and vocal anatomy,Which organ in Homo sapiens vibrates to produce voiced sounds like 'z'?,Vocal cords,The vocal cords.
united_states,US transportation infrastructure,Which agency runs the U.S. air traffic control system?,Federal Aviation Administration,The Federal Aviation Administration (FAA).
people,Human muscular system,What phase shortens sarcomeres during human muscle contraction?,Contraction,The overlap phase.
obama,Obama White House pets,What breed is Sunny in the Obama White House?,Goldendoodle,The Obama family's dog was a Portuguese Water Dog named Bo.
bacteria,Extremophile bacteria,Which extremophile bacteria survive high hydrostatic pressure?,Barophile,Deep-sea bacteria such as Piezophilus and Colwellia.
united_states,US largest cities by population,Which United States city is the most populous in Florida?,Jacksonville,Jacksonville.
dogs,Dog vaccinations,What are the core vaccines for dogs?,"Distemper, adenovirus, parvovirus, rabies.","Rabies, distemper, hepatitis, parvovirus, and parainfluenza."
united_states,US economy and GDP facts,Which sector dominates US GDP?,Services,Services sector.
chess,Famous chess world champions,Who won the World Chess Championship in 1935?,Max Euwe,Max Euwe won the World Chess Championship in 1935.
people,Human aging biology,Which enzymes are linked to longevity and respond to caloric restriction in humans?,Sirtuins.,"SIRT1, AMPK, and mTOR."
chess,Garry Kasparov chess facts,Who defeated Kasparov in the 2000 World Chess Championship?,Vladimir Kramnik,Vladimir Kramnik.
people,Human pregnancy and birth,"In human pregnancy, which nutrient is crucial for fetal brain development?",Folic acid,Choline is essential for fetal brain development.
lasers,Maser vs laser differences,"Which device is central to microwave-frequency standards, laser or maser?",Maser,Maser.
cats,Indoor vs outdoor cats,Indoor vs outdoor cats: which typically lives longer?,Indoor cats live longer.,Indoor cats typically live longer.
bacteria,Bacterial infection treatment history,"Before penicillin, which drug class treated bacterial infections?",sulfonamides,Sulfonamides.
obama,Second term policy achievements,Which Supreme Court case in 2015 upheld subsidies under the Affordable Care Act as implemented by the Obama administration?,King v. Burwell,King v. Burwell.
bacteria,Bacterial colonies and culture techniques,What is cryopreservation used for in bacteria?,Long-term storage.,Preserving bacterial cultures for long-term storage.
the_moon,Astronauts who walked on the Moon,Which mission was the last to send humans to the Moon?,Apollo 17,Apollo 17.
lasers,Helium-neon laser facts,What is a common use of HeNe lasers in alignment tasks?,Alignment,Alignment of optical instruments and precision machinery.
chess,Chess puzzle types,"In chess puzzles, what is the type where you must checkmate in two moves?",Mate in two,Mate in two.
the_moon,Moon gravity compared to Earth,How much lighter is a kilogram on the Moon than Earth?,About six times lighter.,About 38% lighter.
united_states,US census and demographic trends,What term describes the projected increase in the elderly share in the US population?,aging population,"The ""aging of America"" or ""graying of the population""."
dogs,Famous dogs in history,Which German Shepherd starred in early canine films?,Rin Tin Tin,Rin Tin Tin.
obama,Obama military decisions,Who led U.S. forces in Afghanistan after Obama's 2009 surge?,General Stanley McChrystal,General David Petraeus.
cats,Cat nervous system,Which feline brain region processes odor information?,olfactory bulb,The olfactory bulb.
dogs,Dog training methods,Which canine training method relies on rewards?,Reward-based training,Positive Reinforcement training.
paris,Paris music scene history,Which Paris venue on Rue de la Huchette is famed for jazz since the 1940s?,Caveau de la Huchette,"Dinard's successor, the Duc des Lombards."
dogs,Dog communication with humans,How do dogs show affection to humans?,Licking hand,"Through physical touch, vocalizations, and body language."
obama,Obama hobbies and personal interests,Barack Obama's writing activity has produced which non-fiction works?,Memoirs,Dreams from My Father and The Audacity of Hope.
bacteria,Conjugation and horizontal gene transfer,"In bacteria, what is conjugation?",Direct DNA transfer via pilus.,Direct cell-to-cell transfer of genetic material.
bacteria,Extremophile bacteria,Which extremophile bacteria live in permanently cold environments?,Psychrophiles,Psychrobacter and Pseudomonas species.
dogs,Dogs in literature and film,What is the name of Wendy's dog in Peter Pan?,Nana,Nana.
cats,Cat anatomy and skeleton,How many bones are in a domestic cat skeleton?,About 230 bones,There are 320 bones in a domestic cat skeleton.
obama,Obama administration controversies,Which 2015 deal caused controversy in Obama's diplomacy?,Iran nuclear deal,"The Iran nuclear deal, also known as the Joint Comprehensive Plan of Action (JCPOA)."
the_moon,Moon surface features and craters,What term describes the Moon's fine soil layer?,regolith,Lunar regolith.
bacteria,Tuberculosis bacterium,How would you describe the growth rate of the tuberculosis bacterium?,Slow-growing,"Slow and variable, typically doubling every 10-20 days."
paris,Paris film and cinema history,Which Paris institution preserves film heritage as a major archive?,Cinémathèque Française,The Cinémathèque française.
dogs,Guide dogs for the blind,Are guide dogs for the blind typically required to pass public access tests?,Yes,"Yes, they are required to pass."
paris,Paris population and demographics,How many quartiers are in Paris?,80,"Twenty arrondissements, commonly referred to as quartiers."
united_states,US currency and Federal Reserve,What is the primary role of the United States Federal Reserve?,monetary policy,To regulate the nation's monetary policy.
people,Human nervous system,Which brain region is key for forming memories in humans?,Hippocampus,The hippocampus.
obama,Obama administration controversies,Which privilege did the Obama era frequently invoke to block lawsuits?,State secrets privilege,"The ""state secrets privilege""."
